iso2c,country,year,growth,growth_pc,gdp_ppp,gdp_ppp_pc,unemployment,population
BG,Bulgaria,1996,5.13891551042298,5.68254894792202,96915450755.0518,11588.8397959077,13.72,8362826
BG,Bulgaria,1997,-14.1928148094582,-13.668829550206,83160420307.6357,10004.7810373587,13.7,8312068
BG,Bulgaria,1998,4.28528182196033,4.98350737239623,86724078682.1446,10503.3700379475,12.2,8256786
BG,Bulgaria,1999,-8.28101741381641,-7.7653523834675,79542442624.5043,9687.74634236135,14.1,8210624
BG,Bulgaria,2000,4.78204352345534,5.30083838170445,83346196850.4276,10201.2781187994,16.22,8170172
BG,Bulgaria,2001,3.81723975210657,5.90456572501125,86527721008.4712,10803.6192901151,19.92,8009142
BG,Bulgaria,2002,5.95303440817962,8.27809941712268,91678746012.7191,11697.9536355983,18.11,7837161
BG,Bulgaria,2003,5.15184101085522,5.98807065586762,96401889248.0402,12398.4353645885,13.73,7775327
BG,Bulgaria,2004,6.44185946256435,7.24831911029642,102611963472.656,13297.1135244978,12.04,7716860
BG,Bulgaria,2005,7.15354138054481,7.96342868701845,109952352741.062,14356.019677453,10.08,7658972
BG,Bulgaria,2006,6.80216757925123,7.61642461090007,117431496031.838,15449.4350933122,8.95,7601022
BG,Bulgaria,2007,6.55708105188404,7.34346391522207,125131574407.086,16583.9587844953,6.88,7545338
BG,Bulgaria,2008,6.08562760690579,6.83288627696663,132746616044.159,17717.1218284588,5.61,7492561
BG,Bulgaria,2009,-3.37483832880535,-2.75029065891326,128266632365.709,17229.8494817825,6.82,7444443
BG,Bulgaria,2010,0.559446489731144,1.22358817782759,128984215537.975,17440.671883099,10.28,7395599
BG,Bulgaria,2011,2.35455692273156,3.01299272748805,132021222314.156,17966.1580585619,11.26,7348328
BG,Bulgaria,2012,0.356586982837044,0.939559723666306,132491992807.51,18134.9608435703,12.27,7305888
BG,Bulgaria,2013,0.325769436153124,0.888813874846846,132923611225.427,18296.146891746,12.94,7265115
BG,Bulgaria,2014,1.88546463842944,2.46621959194877,135429838911.206,18747.370050962,11.42,7223938
BG,Bulgaria,2015,3.98985171362301,4.65550060015489,140833288659.762,19620.1539761978,9.14,7177991
BG,Bulgaria,2016,3.82043453021177,4.5511721075455,146213732249.752,20513.10095142,7.58,7127822
BG,Bulgaria,2017,3.50275153013627,4.2615482305109,151335235993.4,21387.2766420381,6.16,7075947
BG,Bulgaria,2018,3.09244765360886,3.83955211868788,156015198947.961,22208.4522754771,5.21,7025037
BG,Bulgaria,2019,3.694308379839,4.42679344343635,161778881516.518,23191.5745846967,4.23,6975761
BG,Bulgaria,2020,-4.15370282988493,-3.48302801995543,155059067536.81,22383.8055436428,5.71,6927288
CY,Cyprus,1962,,,,,,577696
CY,Cyprus,1963,,,,,,577918
CY,Cyprus,1964,,,,,,578628
CY,Cyprus,1965,,,,,,580972
CY,Cyprus,1966,,,,,,585313
CY,Cyprus,1967,,,,,,591301
CY,Cyprus,1968,,,,,,598495
CY,Cyprus,1969,,,,,,606121
CY,Cyprus,1970,,,,,,613618
CY,Cyprus,1971,,,,,,620860
CY,Cyprus,1972,,,,,,628002
CY,Cyprus,1973,,,,,,635105
CY,Cyprus,1974,,,,,,642322
CY,Cyprus,1975,,,,,,649753
CY,Cyprus,1976,20.2662921880826,21.2448723370795,,,,657524
CY,Cyprus,1977,16.3620009517149,16.3479758009374,,,,665521
CY,Cyprus,1978,7.77740335905037,7.3783476276099,,,,673253
CY,Cyprus,1979,9.90556938358054,9.05434960283189,,,,680010
CY,Cyprus,1980,5.75324470140077,4.61064015202896,,,,685408
CY,Cyprus,1981,2.51699844067204,0.828826187270451,,,,689170
CY,Cyprus,1982,6.02170898483783,4.77451145888853,,,,691716
CY,Cyprus,1983,5.58218170220279,4.71504466562513,,,,694076
CY,Cyprus,1984,8.75789438428602,7.35775527313226,,,,697715
CY,Cyprus,1985,4.88254077196271,3.61523662243977,,,,703694
CY,Cyprus,1986,3.70395028952957,2.52140638968467,,,,712335
CY,Cyprus,1987,7.06525081210985,5.90727338764465,,,,723384
CY,Cyprus,1988,8.64677784552383,7.50078564408267,,,,736476
CY,Cyprus,1989,7.94742553104604,6.4195106289333,,,,751043
CY,Cyprus,1990,7.40399950603849,5.13996946978786,14663465156.8863,25286.283375501,,766616
CY,Cyprus,1991,0.739501202599513,-1.83474299764737,14771901658.0642,24822.3450619037,2.09,783121
CY,Cyprus,1992,9.39999901631703,6.52783508893916,16160460268.6135,26442.7068127522,2.09,800610
CY,Cyprus,1993,0.700000488145378,-1.70262758856575,16273583569.3804,25992.4859913948,2.46,818750
CY,Cyprus,1994,5.89999870094493,3.73220101424567,17233724788.571,26962.5778171932,2.89,837104
CY,Cyprus,1995,8.36246930466569,6.41553903630188,18674889734.0658,28692.3725222485,3.36,855391
CY,Cyprus,1996,1.24858157644654,-0.352385602291889,18908060966.7071,28591.2647325242,3.89,873426
CY,Cyprus,1997,2.64089463952175,1.1962245524393,19407402935.2143,28933.2804611075,4.46,891190
CY,Cyprus,1998,6.11084674642566,4.81774391017204,20593359586.0466,30327.2118185356,5.07,908710
CY,Cyprus,1999,4.99796042248005,3.8296004650207,21622607547.8162,31488.6228633661,5.7,926049
CY,Cyprus,2000,5.96531031488554,4.84416119786459,22912463186.2133,33013.9825138552,4.97,943288
CY,Cyprus,2001,3.95256054086292,2.83812266123225,23818092165.0513,33950.959832956,3.98,960274
CY,Cyprus,2002,3.72295649883057,2.54106759017458,24704829375.2076,34813.6766698246,3.3,976968
CY,Cyprus,2003,2.6232861229859,1.38361805113176,25352907735.9147,35295.3649844909,4.14,993562
CY,Cyprus,2004,5.02634392575987,3.63081132212541,26627232073.9024,36576.8730925333,4.33,1010410
CY,Cyprus,2005,4.85300383835666,3.35376517757598,27919452668.497,37803.5755253568,5.3,1027657
CY,Cyprus,2006,4.71382866563106,2.98129875921664,29235527831.6719,38930.6130534338,4.54,1045508
CY,Cyprus,2007,5.09806845261184,2.88410751248576,30725975053.0129,40053.4137891646,3.92,1063708
CY,Cyprus,2008,3.6468119905756,1.0765652150817,31846493595.4675,40484.6149094716,3.66,1081568
CY,Cyprus,2009,-2.01526235906867,-4.6106540682506,31204703197.3548,38618.0093651325,5.36,1098089
CY,Cyprus,2010,2.01469570699406,-0.618672408329218,31833383013.0521,38379.0903965443,6.26,1112617
CY,Cyprus,2011,0.401437941132741,-2.12782857471161,31961174290.4126,37562.4491443722,7.86,1124837
CY,Cyprus,2012,-3.44682208589713,-4.90683483702104,30859529476.0586,35719.3218041179,11.8,1135046
CY,Cyprus,2013,-6.55307825499119,-6.33559821867694,28837280360.3704,33456.2890881726,15.87,1143866
CY,Cyprus,2014,-1.82930910922002,-0.742815123790734,28309757363.8869,33207.7707129666,16.09,1152297
CY,Cyprus,2015,3.21856901005827,3.80792738083791,29220926441.2236,34472.2985065115,14.91,1160987
CY,Cyprus,2016,6.43805848146472,5.95096581998497,31102186774.3354,36523.7332079973,12.95,1170189
CY,Cyprus,2017,5.15477714593604,4.1811841054944,32705435190.0652,38050.8577356233,11.05,1179685
CY,Cyprus,2018,5.24074782806838,3.9647732504053,34419444574.4488,39559.4879646749,8.37,1189262
CY,Cyprus,2019,3.0757919624678,1.68688110146658,35478115084.1958,40226.8094909879,7.07,1198574
CY,Cyprus,2020,-5.10347951905253,-6.39282403398673,33667496747.128,37655.1803457421,7.21,1207361
CZ,Czech Republic,1962,,,,,,9624660
CZ,Czech Republic,1963,,,,,,9670685
CZ,Czech Republic,1964,,,,,,9727804
CZ,Czech Republic,1965,,,,,,9779358
CZ,Czech Republic,1966,,,,,,9821040
CZ,Czech Republic,1967,,,,,,9852899
CZ,Czech Republic,1968,,,,,,9876346
CZ,Czech Republic,1969,,,,,,9896580
CZ,Czech Republic,1970,,,,,,9858071
CZ,Czech Republic,1971,,,,,,9826815
CZ,Czech Republic,1972,,,,,,9867632
CZ,Czech Republic,1973,,,,,,9922266
CZ,Czech Republic,1974,,,,,,9988459
CZ,Czech Republic,1975,,,,,,10058620
CZ,Czech Republic,1976,,,,,,10125939
CZ,Czech Republic,1977,,,,,,10186755
CZ,Czech Republic,1978,,,,,,10242098
CZ,Czech Republic,1979,,,,,,10292341
CZ,Czech Republic,1980,,,,,,10304193
CZ,Czech Republic,1981,,,,,,10300591
CZ,Czech Republic,1982,,,,,,10314826
CZ,Czech Republic,1983,,,,,,10323856
CZ,Czech Republic,1984,,,,,,10330213
CZ,Czech Republic,1985,,,,,,10337118
CZ,Czech Republic,1986,,,,,,10342227
CZ,Czech Republic,1987,,,,,,10347318
CZ,Czech Republic,1988,,,,,,10355276
CZ,Czech Republic,1989,,,,,,10361068
CZ,Czech Republic,1990,,,243714053114.922,23585.1814938054,,10333355
CZ,Czech Republic,1991,-11.6149423314776,-11.4025059921636,215406806391.917,20895.8797607116,2.27,10308578
CZ,Czech Republic,1992,-0.506542369615516,-0.608213656091351,214315679650.506,20768.7881664466,3.22,10319123
CZ,Czech Republic,1993,0.0619042687638398,-0.0420530817132345,214448350204.84,20760.0542509881,4.32,10329855
CZ,Czech Republic,1994,2.90930943320329,2.87214348658624,220687316286.699,21356.3127969696,4.3,10333587
CZ,Czech Republic,1995,6.50081352909872,6.56613352783346,235033787200.869,22758.5968118404,4.02,10327253
CZ,Czech Republic,1996,4.26541664546846,4.38683273111739,245058957482.61,23756.9783859253,3.89,10315241
CZ,Czech Republic,1997,-0.518331043362068,-0.411069078029101,243788740831.438,23659.3207939067,4.27,10304131
CZ,Czech Republic,1998,-0.356566596194511,-0.26211493574327,242919471616.35,23597.3061804104,5.9,10294373
CZ,Czech Republic,1999,1.38414894342924,1.48779208499693,246281838916.112,23948.3850340351,8.49,10283860
CZ,Czech Republic,2000,4.00102863502944,4.29307146515178,256135645814.022,24976.5063182959,8.76,10255063
CZ,Czech Republic,2001,3.04297656257042,3.43085754579758,263929793484.532,25833.4146699938,7.99,10216605
